ID на сайте,Источник,district_name,n_buildings_300m,n_living_buildings_300m,n_flats_300m,min_bc_distance_300m,mean_bc_distance_300m,traffic1_300m,traffic2_300m,traffic3_300m,traffic4_300m,Медицина_300,Стоматологии_300,"Аптеки, оптики_300",Салоны красоты_300,"Бани, сауны_300","Фитнес-центры, тренажерные_300",Супермаркеты_300,Гипермаркеты_300,Продуктовые магазины_300,"Алкомаркеты, магазины пива_300","Школы, лицеи, гимназии_300",Детские сады_300,"Колледжи, институты_300",Студенческие общежития_300,"Торговые центры, моллы_300",Бизнес-центры_300,Пункты выдачи товаров_300,Ветаптеки и ветклиники_300,Магазины цветов_300,"Прачечные, химчистки_300",Детские игровые залы_300,Религия_300,"Пиццерии, суши, столовые_300","Пекарни, кофейни_300","Кафе, бары, рестораны_300",Социальные_300,Банки_300,district_price,n_buildings_600m,n_living_buildings_600m,n_flats_600m,min_bc_distance_600m,mean_bc_distance_600m,traffic1_600m,traffic2_600m,traffic3_600m,traffic4_600m,Медицина_600,Стоматологии_600,"Аптеки, оптики_600",Салоны красоты_600,"Бани, сауны_600","Фитнес-центры, тренажерные_600",Супермаркеты_600,Гипермаркеты_600,Продуктовые магазины_600,"Алкомаркеты, магазины пива_600","Школы, лицеи, гимназии_600",Детские сады_600,"Колледжи, институты_600",Студенческие общежития_600,"Торговые центры, моллы_600",Бизнес-центры_600,Пункты выдачи товаров_600,Ветаптеки и ветклиники_600,Магазины цветов_600,"Прачечные, химчистки_600",Детские игровые залы_600,Религия_600,"Пиццерии, суши, столовые_600","Пекарни, кофейни_600","Кафе, бары, рестораны_600",Социальные_600,Банки_600
323568107,cian.ru,Орехово-Борисово Южное,19,10.0,3221.0,,,2256,6658,5315,5417,1,1,4,10,0,4,5,0,8,13,0,1,0,0,2,0,13,1,3,2,0,0,5,8,9,0,0,279800,102,37.0,11431.0,561,561.0,2256,6658,5315,5417,3,5,8,28,0,4,7,0,12,20,5,8,0,0,2,0,25,2,7,4,0,0,5,14,16,5,0
323754019,cian.ru,Печатники,17,9.0,1777.0,0,0.0,322,2770,1410,1651,0,0,2,2,0,1,1,0,10,2,2,2,0,0,0,1,7,1,1,3,0,0,0,3,0,0,0,286900,80,43.0,8843.0,0,404.5,322,2770,1410,1651,0,2,6,8,1,2,7,0,25,7,4,5,0,0,1,1,23,4,2,6,0,0,3,8,5,4,0
322156595,cian.ru,Нагатино-Садовники,33,10.0,1979.0,102,212.2,2328,278,5107,306,2,0,2,2,0,0,1,0,2,0,0,1,0,0,0,0,4,2,1,0,0,1,1,6,1,0,0,353800,144,31.0,5453.0,102,397.875,2328,278,5107,306,6,0,12,24,0,4,7,0,19,5,1,6,4,0,1,3,26,6,3,6,1,2,9,15,20,1,0
323953754,cian.ru,Хамовники,81,15.0,1145.0,39,162.92857142857142,384,10003,740,6255,28,2,5,4,0,2,0,0,7,4,0,0,2,0,0,3,4,3,1,2,0,0,2,6,12,0,0,846800,254,44.0,3474.0,39,346.8157894736842,384,10003,740,6255,77,4,7,25,0,8,0,0,17,5,3,2,11,0,0,7,8,3,3,4,0,2,9,9,33,5,0
2361982388815286784,realty.yandex.ru,Бутово Южное,54,40.0,1939.0,,,1188,591,2411,268,3,1,2,10,0,0,3,0,2,3,1,1,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,259700,149,116.0,4118.0,,,1188,591,2411,268,3,3,3,12,0,0,4,0,3,3,4,4,0,0,0,0,13,1,0,1,0,0,0,0,0,1,0
3941757984976509952,realty.yandex.ru,Нагатино-Садовники,24,9.0,1158.0,0,103.66666666666667,824,2000,3995,2894,0,1,1,4,1,2,3,0,4,2,3,2,0,0,0,1,3,0,1,1,0,0,0,2,2,2,0,353800,91,33.0,5410.0,0,199.0,824,2000,3995,2894,5,1,3,6,1,4,5,0,10,5,4,4,1,1,0,1,11,1,2,1,0,1,3,7,6,6,0
321340446,cian.ru,Сокольники,76,36.0,2478.0,81,165.66666666666666,892,3857,1623,2267,11,2,2,6,2,0,5,0,2,4,1,0,2,0,0,1,5,2,0,3,0,1,1,2,2,2,1,367600,311,103.0,5934.0,81,411.9310344827586,892,3857,1623,2267,48,5,12,21,5,6,8,0,9,5,5,6,6,1,1,6,18,4,1,10,0,3,12,6,19,4,1
319367485,cian.ru,Нагатино-Садовники,33,10.0,1979.0,102,212.2,2328,278,5107,306,2,0,2,2,0,0,1,0,2,0,0,1,0,0,0,0,4,2,1,0,0,1,1,6,1,0,0,353800,144,31.0,5453.0,102,397.875,2328,278,5107,306,6,0,12,24,0,4,7,0,19,5,1,6,4,0,1,3,26,6,3,6,1,2,9,15,20,1,0
8303086569397168128,realty.yandex.ru,Хамовники,85,17.0,1240.0,40,156.0,404,10733,740,6719,36,2,6,6,0,1,0,0,9,3,1,0,4,0,0,3,4,3,1,2,0,1,2,5,12,0,0,846800,259,43.0,3254.0,40,356.43589743589746,404,10733,740,6719,80,4,7,25,0,8,0,0,16,5,3,3,11,0,0,7,7,4,3,4,0,2,11,11,32,5,0
322954659,cian.ru,Теплый Стан,22,11.0,1906.0,0,0.0,370,12038,1590,5384,1,0,2,2,0,2,1,0,1,0,1,2,0,0,0,1,4,0,2,2,0,0,1,4,4,2,0,312900,79,32.0,6965.0,0,269.3333333333333,370,12038,1590,5384,2,2,9,8,1,5,4,0,6,1,5,6,0,0,1,1,21,2,4,3,0,0,6,7,9,5,0
