address,name_ru,avg_rating,rubrics,lat,lon,geocode_status
"Москва, Профсоюзная улица, 118",Студия маникюра Лены Лениной,5.0,Ногтевая студия;Салон красоты;Салон бровей и ресниц,55.6363391,37.5211351,success
"Москва, Профсоюзная улица, 118",Точка Красоты,5.0,Салон красоты;Парикмахерская;Ногтевая студия,55.6363391,37.5211351,success
"Москва, Профсоюзная улица, 118",Medvedservice.ru,1.0,Ремонт телефонов;Компьютерный ремонт и услуги;Товары для мобильных телефонов,55.6363391,37.5211351,success
"Москва, Профсоюзная улица, 118",Dr. All,5.0,Ремонт телефонов;Компьютерный ремонт и услуги;Ноутбуки и планшеты;Товары для мобильных телефонов,55.6363391,37.5211351,success
"Москва, Профсоюзная улица, 118",Адвокат Швырёва Н.В.,5.0,Адвокаты;Юридические услуги,55.6363391,37.5211351,success
"Москва, Профсоюзная улица, 118Б",ГБОУ школа № 113,3.3333333333333335,Общеобразовательная школа,55.6377065,37.5167325,success
"Москва, Профсоюзная улица, 12",FUN&SUN,5.0,Турагентство;Бронирование гостиниц;Железнодорожные и авиабилеты,55.6854553,37.5701301,success
"Москва, Профсоюзная улица, 12",ПЕГАС Туристик,5.0,Турагентство,55.6854553,37.5701301,success
"Москва, Профсоюзная улица, 123",Палеонтологический музей имени Ю.А. Орлова РАН,4.608695652173913,Музей,55.6215971,37.5367599,success
"Москва, Профсоюзная улица, 123А, стр. 15",Усадьба Узкое,4.5,Достопримечательность,,,not_found
"Москва, Профсоюзная улица, 123А, стр. 17","Федеральный научно-клинический центр реаниматологии и реабилитологии, Узкое",5.0,Санаторий,,,not_found
"Москва, Профсоюзная улица, 124А",Не Малевичи,5.0,Курсы и мастер-классы;Художественная мастерская;Школа искусств,55.6323694,37.5164003,success
"Москва, Профсоюзная улица, 124А",2d School,5.0,Школа танцев,55.6323694,37.5164003,success
"Москва, Профсоюзная улица, 126",Vape shop,5.0,Вейп-шоп,55.631197,37.5174119,success
"Москва, Профсоюзная улица, 126, корп. 1",City Nails,1.0,Ногтевая студия;Салон красоты,,,not_found
"Москва, Профсоюзная улица, 126, корп. 1",Women's plus,5.0,Магазин одежды,,,not_found
"Москва, Профсоюзная улица, 126, корп. 2",МосОптика,5.0,Салон оптики;Контактные линзы;Ремонт очков,,,not_found
"Москва, Профсоюзная улица, 126, корп. 2",Бургер Кинг,5.0,Быстрое питание;Ресторан,,,not_found
"Москва, Профсоюзная улица, 126, корп. 2",Pedant.ru,5.0,Ремонт телефонов;Компьютерный ремонт и услуги;Товары для мобильных телефонов,,,not_found
"Москва, Профсоюзная улица, 126, корп. 2",Мираторг,3.0,Супермаркет;Магазин продуктов,,,not_found
"Москва, Профсоюзная улица, 126, корп. 2",DDX FITNESS,5.0,"Фитнес-клуб;Сауна;Спортивный, тренажёрный зал",,,not_found
"Москва, Профсоюзная улица, 126, корп. 2",9 Зёрен,5.0,Кофейня;Кофе с собой,,,not_found
"Москва, Профсоюзная улица, 126, корп. 2",HealthStore,5.0,Спортивное питание,,,not_found
"Москва, Профсоюзная улица, 126, корп. 3",Da Lorenzo,5.0,Пиццерия;Магазин продуктов;Кофейня,,,not_found
"Москва, Профсоюзная улица, 126, корп. 3",Дагестанская лавка,1.0,Быстрое питание;Кафе,,,not_found
"Москва, Профсоюзная улица, 126, корп. 3",Детали Beauty Lab,5.0,Салон красоты;Парикмахерская;Ногтевая студия,,,not_found
"Москва, Профсоюзная улица, 126, корп. 3",Китайские новости,4.8,Ресторан,,,not_found
"Москва, Профсоюзная улица, 126к2",Тинькофф,5.0,Банкомат,55.631197,37.5174119,success
"Москва, Профсоюзная улица, 126к3",Экомаркет,5.0,Продуктовый рынок,55.6303982,37.5167967,success
"Москва, Профсоюзная улица, 126к3",ЧебурекМи,5.0,Быстрое питание,55.6303982,37.5167967,success
"Москва, Профсоюзная улица, 126к3",Моремания,4.6,Ресторан;Кафе;Магазин рыбы и морепродуктов,55.6303982,37.5167967,success
"Москва, Профсоюзная улица, 126к3",Тануки,4.333333333333333,Ресторан;Суши-бар;Доставка еды и обедов,55.6303982,37.5167967,success
"Москва, Профсоюзная улица, 126с7",Tikkurila,5.0,Лакокрасочные материалы;Строительный инструмент;Декоративные покрытия;Строительный магазин,55.6336309,37.5186039,success
"Москва, Профсоюзная улица, 127Б",Kimmy Lab,5.0,Ногтевая студия;Салон красоты;Шугаринг,55.6206223,37.5075772,success
"Москва, Профсоюзная улица, 127Б","Семейный доктор, поликлиника № 12",4.166666666666667,"Медцентр, клиника;Диагностический центр;Гинекологическая клиника",55.6206223,37.5075772,success
"Москва, Профсоюзная улица, 128, корп. 1",ГОРЗДРАВ,5.0,Аптека,,,not_found
"Москва, Профсоюзная улица, 128, корп. 1",Лето,5.0,"Караоке-клуб;Ночной клуб;Бар, паб",,,not_found
"Москва, Профсоюзная улица, 128, корп. 1",Пивновъ,5.0,"Магазин пива;Орехи, снеки, сухофрукты;Магазин рыбы и морепродуктов",,,not_found
"Москва, Профсоюзная улица, 128, корп. 1",СушиСтор,5.0,Суши-бар;Ресторан;Доставка еды и обедов,,,not_found
"Москва, Профсоюзная улица, 128, корп. 2",Лимандра,5.0,"Магазин овощей и фруктов;Орехи, снеки, сухофрукты;Кофе с собой",,,not_found
"Москва, Профсоюзная улица, 128, корп. 2",Ароматный мир,4.0,Магазин алкогольных напитков;Магазин продуктов,,,not_found
"Москва, Профсоюзная улица, 128, корп. 2",Табачка на районе,1.0,Магазин табака и курительных принадлежностей;Вейп-шоп,,,not_found
"Москва, Профсоюзная улица, 128, корп. 3",Силуэт,5.0,Ателье по пошиву одежды;Меховое ателье;Ремонт одежды,,,not_found
"Москва, Профсоюзная улица, 128, корп. 3",Your Lucky. Lab,5.0,Ногтевая студия;Салон бровей и ресниц;Эпиляция,,,not_found
"Москва, Профсоюзная улица, 128А",Scandi Flora,5.0,Магазин цветов;Доставка цветов и букетов,55.6301729,37.5145921,success
"Москва, Профсоюзная улица, 128к1",Wildberries,3.0,Пункт выдачи,55.6309422,37.5156065,success
"Москва, Профсоюзная улица, 128к3",4ever_coffee,5.0,Кофе с собой;Кофейня,55.630607,37.5147039,success
"Москва, Профсоюзная улица, 129А",Милавица,5.0,Магазин белья и купальников,55.6182329,37.5071951,success
"Москва, Профсоюзная улица, 129А",Мультифото,1.0,Фотоуслуги;Копировальный центр;Полиграфические услуги,55.6182329,37.5071951,success
"Москва, Профсоюзная улица, 129А",Мега Альянс,5.0,"Шторы, карнизы;Жалюзи и рулонные шторы",55.6182329,37.5071951,success
"Москва, Профсоюзная улица, 129А",Крошка Картошка,1.0,Быстрое питание;Кафе,55.6182329,37.5071951,success
"Москва, Профсоюзная улица, 129А",Лето,5.0,"Фитнес-клуб;Сауна;Спортивный, тренажёрный зал",55.6182329,37.5071951,success
"Москва, Профсоюзная улица, 129А",О! Эскимо,4.0,Мороженое,55.6182329,37.5071951,success
"Москва, Профсоюзная улица, 129А",МастерБолтиков,5.0,Крепёжные изделия;Строительный инструмент;Магазин сантехники;Строительный магазин,55.6182329,37.5071951,success
"Москва, Профсоюзная улица, 129А",Принц Плаза,3.272727272727273,Торговый центр;Развлекательный центр,55.6182329,37.5071951,success
"Москва, Профсоюзная улица, 129А",Эльдорадо,1.0,Магазин электроники;Ноутбуки и планшеты;Компьютерный магазин;Магазин бытовой техники;Товары для мобильных телефонов,55.6182329,37.5071951,success
"Москва, Профсоюзная улица, 129А",Снежинка,4.0,Химчистка;Чистка ковров;Прачечная,55.6182329,37.5071951,success
"Москва, Профсоюзная улица, 129А",Студия маникюра Лены Лениной,5.0,Ногтевая студия;Салон красоты;Салон бровей и ресниц,55.6182329,37.5071951,success
"Москва, Профсоюзная улица, 129А",Танцующие,5.0,"Спортивная одежда и обувь;Спортивный магазин;Карнавальные, театральные и танцевальные костюмы",55.6182329,37.5071951,success
"Москва, Профсоюзная улица, 129А",Хорошая связь,3.0,Салон связи;Ноутбуки и планшеты;Компьютерный магазин;Магазин электроники,55.6182329,37.5071951,success
